target,method,Z2,A2,I2_eV,density,I2_source,I2_imputed_elems,validated_by_physics,n_records,n_e_1e23
TaB2,formula,27.666666666666664,67.52266666666667,547.7938001705021,,additivity,0.0,False,4,
Tb,element,65.0,158.925,614.0,,additivity,0.0,False,66,
Te,element,52.0,127.6,485.0,,additivity,0.0,False,29,
Teflon,name_map,8.0,16.669,104.36311442817079,,additivity,0.0,False,1,
Terphenyl,name_map,3.8125,7.197187499999999,66.40993695817542,,additivity,0.0,False,27,
Tetradecane,name_map,2.590909090909091,4.508954545454546,53.93687989489667,,additivity,0.0,False,4,
Th,element,90.0,232.038,847.0,,additivity,0.0,False,49,
Thiophene,name_map,4.888888888888888,9.348444444444445,93.07101330563461,,additivity,0.0,False,18,
Ti,element,22.0,47.867,233.0,,additivity,0.0,False,1000,
TiB2,formula,10.666666666666666,23.162333333333333,164.1766702574475,,additivity,0.0,False,1,
TiN,formula,14.5,30.936999999999998,181.08407094164428,,additivity,0.0,False,118,
TiO2,formula,12.666666666666666,26.621666666666666,159.6982691373133,,additivity,0.0,False,172,
Tissue eq,weight_frac,3.4564496365724904,6.283500151125489,74.9,1.0,NIST_measured,0.0,False,25,3.3126801528861263
Tm,element,69.0,168.934,674.0,,additivity,0.0,False,1,
Toluene,name_map,3.333333333333333,6.142733333333333,62.328641734641586,,additivity,0.0,False,22,
Tridecane,name_map,2.5853658536585367,4.496756097560976,53.86184907200557,,additivity,0.0,False,4,
Trifluoroethane,name_map,5.25,10.504999999999999,90.57266724584808,,additivity,0.0,False,69,
Trimethylamine,name_map,2.615384615384615,4.547076923076923,54.37697270107527,,additivity,0.0,False,18,
Trimethylene sulfide,name_map,4.0,7.4141,88.31749807933487,,additivity,0.0,False,18,
U,element,92.0,238.029,890.0,,additivity,0.0,False,71,
UF4,formula,25.599999999999998,62.8042,500.5475440930476,,additivity,0.0,False,34,
UO2,formula,36.0,90.009,638.9096219935429,,additivity,0.0,False,9,
Undecane,name_map,2.571428571428571,4.466085714285714,53.67223778828158,,additivity,0.0,False,4,
Undecanol,name_map,2.7222222222222223,4.786444444444443,56.23315757834065,,additivity,0.0,False,4,
V,element,23.0,50.942,245.0,,additivity,0.0,False,322,
VO2,formula,13.0,27.64666666666667,166.09982308224252,,additivity,0.0,False,42,
Vinyl bromide,name_map,8.333333333333332,17.825,202.21187789579236,,additivity,0.0,False,18,
Vinyl chloride,name_map,5.333333333333334,10.416,104.74583287371189,,additivity,0.0,False,75,
Vinyl methyl ether,name_map,3.2,5.808,63.00182002322943,,additivity,0.0,False,18,
Vinylchloride vinylacetate copolymer,UNRESOLVED,,,,,,,False,175,
Vitreous Carbon,element_alias,6.0,12.011,78.0,1.5,additivity,0.0,False,119,4.512469139955042
W,element,74.0,183.84,727.0,,additivity,0.0,False,367,
WO3,formula,24.5,57.95925,441.6629290115091,,additivity,0.0,False,6,
Xe,element,54.0,131.293,482.0,,additivity,0.0,False,452,
Y,element,39.0,88.906,379.0,,additivity,0.0,False,200,
Yb,element,70.0,173.045,684.0,,additivity,0.0,False,84,
Zn,element,30.0,65.38,330.0,,additivity,0.0,False,573,
ZnO,formula,19.0,40.689499999999995,253.90037547572277,,additivity,0.0,False,131,
ZnP,formula,22.5,48.177,266.0876150600245,,additivity,0.0,False,11,
ZnSe,formula,32.0,72.1755,339.4434108000355,,additivity,0.0,False,38,
ZnSiP2,formula,18.5,38.85325,224.7756593002932,,additivity,0.0,False,7,
ZnTe,formula,41.0,96.49,421.27029480304356,,additivity,0.0,False,63,
Zr,element,40.0,91.224,393.0,,additivity,0.0,False,286,
ZrO2,formula,18.666666666666668,41.074,261.9397587622991,,additivity,0.0,False,293,
bicycloheptadiene,name_map,3.333333333333333,6.142733333333333,62.328641734641586,,additivity,0.0,False,1,
bone,weight_frac,4.410715101706196,8.321058909795717,91.9,1.85,NIST_measured,0.0,False,13,5.905450597448226
cis-cyclooctene,name_map,2.818181818181818,5.00909090909091,56.83621273706147,,additivity,0.0,False,1,
isooctane,name_map,2.5384615384615383,4.393538461538461,53.218183436809824,,additivity,0.0,False,1,
mica,weight_frac,9.63730830276954,19.410974054071872,127.4783242337366,2.82,additivity,0.0,False,12,8.431569693414188
p-Dioxane,name_map,3.4285714285714284,6.293285714285714,65.94350718296434,,additivity,0.0,False,18,
